Model,Approach,MSE,R2
lstm,price,"[30781.560489503, 12637.441914018027, 3584.0444458307966, 4043.3390054459633, 5020.921861270523, 11092.361781582636, 19496.195897866077, 30124.93856615071]","[0.2174184957003833, 0.6787093264182028, 0.9088802890661949, 0.8972033168248804, 0.8723495326202236, 0.7179909974925812, 0.5043343459122207, 0.23411226185003575]"
lstm,esg,"[38437.340939763984, 32395.52024479828, 25771.97660269136, 37699.56874613386, 38925.11864761375, 40275.44682209931, 40037.19995600539, 39860.259552426265]","[0.022780144490217813, 0.17638564898656117, 0.3447807096918766, 0.041537051675556436, 0.010379024914000667, -0.02395132862500926, -0.01789420910613293, -0.013395727385183243]"
lstm,hybrid,"[30777.09763958676, 12883.57762992926, 2948.881471004523, 2497.7976295084895, 3681.9299753290597, 7885.696133815935, 12493.208363483767, 40025.157249389544]","[0.21753195790780155, 0.6724516430598375, 0.9250284891057761, 0.9364967144208506, 0.9063916756331611, 0.7995163388498181, 0.6823762785529417, -0.017588038811014783]"
transformer,price,"[32479.430157612107, 14315.513133668304, 5013.241999154981, 3280.215132081589, 4890.142213617025, 8684.150643671599, 20422.378794705466, 2920.3517236246903]","[0.17425234759601316, 0.6360465283497411, 0.8725447832167371, 0.9166047577943238, 0.8756744366135526, 0.7792166619815598, 0.4807873394207103, 0.9257538211638896]"
transformer,esg,"[39403.48274593798, 36790.32011229121, 34510.85458288435, 39972.6291747333, 38684.04049955114, 40242.82977706421, 39984.579103414806, 40248.42464763537]","[-0.0017827657722502277, 0.06465352635518185, 0.12260599967474162, -0.01625258021084197, 0.01650812612798691, -0.02312208229170265, -0.016556391746551213, -0.023264324665328795]"
transformer,hybrid,"[31204.46799663208, 13141.749268226993, 3757.81239141312, 1137.6632650953702, 3465.152532680888, 1606.4307612770804, 2963.7516962079094, 2344.329178184912]","[0.20666661737304715, 0.6658879618866418, 0.9044624630011634, 0.9710763777005925, 0.9119029627306325, 0.9591585682557546, 0.9246504327946639, 0.9403984520062565]"
