Model,Approach,MSE,MAE,RMSE,R2
lstm,esg,0.7668364184243338,24.043796279975926,0.8756919654903395,0.5571241667515413
lstm,price,0.13356877395084926,8.451235982831992,0.3654706198189524,0.9228591877917343
lstm,hybrid,0.08847045387540545,7.225150018594438,0.2974398323617828,0.9489051036533066
transformer,esg,0.40262678010123115,17.995081438920337,0.6345287858728169,0.7674684227919564
transformer,price,0.13893709693636214,9.335654352585085,0.3727426685212764,0.9197587914857653
transformer,hybrid,0.25092359610966275,12.807797073050278,0.5009227446519701,0.855082519058417
